trait	Ghlatifolium	Ghmariegalante	Ghmorrilli	Ghpalmeri	Ghpunctatum	Ghpurpurascen	Ghrichmondi	Ghyucatanense	nowildCount	Ghlatifolium_ratio	Ghmariegalante_ratio	Ghmorrilli_ratio	Ghpalmeri_ratio	Ghpunctatum_ratio	Ghpurpurascen_ratio	Ghrichmondi_ratio	Ghyucatanense_ratio
qBW	1	2	2	0	3	2	2	0	96	0.08333333333333333	0.16666666666666666	0.16666666666666666	0.0	0.25	0.16666666666666666	0.16666666666666666	0.0
qFD	42	53	22	41	44	24	6	26	246	0.16279069767441862	0.2054263565891473	0.08527131782945736	0.15891472868217055	0.17054263565891473	0.09302325581395349	0.023255813953488372	0.10077519379844961
qFE	165	83	52	232	195	28	35	93	1061	0.1868629671574179	0.09399773499433749	0.05889014722536806	0.2627406568516421	0.22083805209513024	0.031710079275198186	0.039637599093997736	0.10532276330690826
qFFSH	12	0	0	0	9	0	0	6	9	0.4444444444444444	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.2222222222222222
qFL	175	122	74	253	168	37	98	179	1090	0.15822784810126583	0.11030741410488246	0.06690777576853527	0.22875226039783003	0.1518987341772152	0.03345388788426763	0.08860759493670886	0.16184448462929477
qFM	31	7	12	18	4	4	7	20	77	0.30097087378640774	0.06796116504854369	0.11650485436893204	0.17475728155339806	0.038834951456310676	0.038834951456310676	0.06796116504854369	0.1941747572815534
qFS	200	135	62	153	50	38	78	156	1036	0.22935779816513763	0.15481651376146788	0.07110091743119266	0.17545871559633028	0.05733944954128441	0.04357798165137615	0.08944954128440367	0.17889908256880735
qFU	123	52	37	84	67	42	8	56	395	0.2622601279317697	0.11087420042643924	0.07889125799573561	0.1791044776119403	0.14285714285714285	0.08955223880597014	0.017057569296375266	0.11940298507462686
qFWPB	53	3	40	37	77	19	22	39	178	0.18275862068965518	0.010344827586206896	0.13793103448275862	0.12758620689655173	0.2655172413793103	0.06551724137931035	0.07586206896551724	0.13448275862068965
qHNFFB	1	0	0	2	0	0	0	7	26	0.1	0.0	0.0	0.2	0.0	0.0	0.0	0.7
qLBN	0	0	0	0	0	0	1	0	35	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
qLI	63	25	33	48	44	2	28	51	390	0.21428571428571427	0.08503401360544217	0.11224489795918367	0.16326530612244897	0.14965986394557823	0.006802721088435374	0.09523809523809523	0.17346938775510204
qLP	65	67	35	40	54	22	20	45	588	0.1867816091954023	0.1925287356321839	0.10057471264367816	0.11494252873563218	0.15517241379310345	0.06321839080459771	0.05747126436781609	0.12931034482758622
qMAT	166	73	22	93	90	19	64	118	831	0.25736434108527134	0.11317829457364341	0.034108527131782945	0.14418604651162792	0.13953488372093023	0.02945736434108527	0.09922480620155039	0.18294573643410852
qMIC	100	33	24	75	53	3	40	61	583	0.2570694087403599	0.08483290488431877	0.061696658097686374	0.1928020565552699	0.13624678663239073	0.007712082262210797	0.10282776349614396	0.15681233933161953
qPH	2	1	1	8	11	13	0	0	0	0.05555555555555555	0.027777777777777776	0.027777777777777776	0.2222222222222222	0.3055555555555556	0.3611111111111111	0.0	0.0
qSCI	56	35	16	31	40	17	13	28	340	0.23728813559322035	0.1483050847457627	0.06779661016949153	0.13135593220338984	0.1694915254237288	0.07203389830508475	0.05508474576271186	0.11864406779661017
qSFI	2	9	5	0	6	0	0	13	73	0.05714285714285714	0.2571428571428571	0.14285714285714285	0.0	0.17142857142857143	0.0	0.0	0.37142857142857144
qSI	9	11	3	0	8	0	3	17	57	0.17647058823529413	0.21568627450980393	0.058823529411764705	0.0	0.1568627450980392	0.0	0.058823529411764705	0.3333333333333333
qSW	0	0	0	0	0	0	3	0	33	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
qVW	0	1	1	0	0	0	3	0	31	0.0	0.2	0.2	0.0	0.0	0.0	0.6	0.0
qWGP	4	0	0	7	17	6	3	14	21	0.0784313725490196	0.0	0.0	0.13725490196078433	0.3333333333333333	0.11764705882352941	0.058823529411764705	0.27450980392156865
qYPBF	3	0	2	0	0	0	0	0	31	0.6	0.0	0.4	0.0	0.0	0.0	0.0	0.0
